,fldName,fldInplaceOil,fldInplaceAssLiquid,fldInplaceAssGas,fldInplaceFreeGas,fldDateOffResEstDisplay,fldNpdidField,DatesyncNPD
0,ALBUSKJELL,56.0,40.0,0.0,56.0,31.12.2023,43437,02.04.2024
1,ALVE,5.0,6.0,2.0,17.0,31.12.2023,4444332,02.04.2024
2,ALVE NORD,17.0,5.0,4.0,14.0,31.12.2023,42002483,02.04.2024
3,ALVHEIM,124.0,1.0,12.0,20.0,31.12.2023,2845712,02.04.2024
4,ATLA,0.0,0.0,0.0,2.0,31.12.2023,21106284,02.04.2024
5,BALDER,280.0,0.0,15.0,0.0,31.12.2023,43562,02.04.2024
6,BAUGE,16.0,0.0,5.0,0.0,31.12.2023,29446221,02.04.2024
7,BERLING,0.0,3.0,0.0,15.0,31.12.2023,42002473,02.04.2024
8,BLANE,3.0,0.0,0.0,0.0,31.12.2023,3437650,02.04.2024
9,BRAGE,162.0,13.0,17.0,5.0,31.12.2023,43651,02.04.2024
10,BREIDABLIKK,101.0,0.0,2.0,0.0,31.12.2023,38702206,02.04.2024
11,BRYNHILD,6.0,0.0,0.0,0.0,31.12.2023,21123063,02.04.2024
12,BYRDING,8.0,0.0,1.0,1.0,31.12.2023,28975067,02.04.2024
13,BØYLA,15.0,0.0,1.0,0.0,31.12.2023,22492497,02.04.2024
14,COD,5.0,0.0,11.0,0.0,31.12.2023,43785,02.04.2024
15,DRAUGEN,228.0,0.0,13.0,2.0,31.12.2023,43758,02.04.2024
16,DUVA,11.0,0.0,1.0,5.0,31.12.2023,34833026,02.04.2024
17,DVALIN,0.0,1.0,0.0,47.0,31.12.2023,29393934,02.04.2024
18,EDDA,16.0,0.0,5.0,0.0,31.12.2023,43541,02.04.2024
19,EDVARD GRIEG,98.0,0.0,12.0,0.0,31.12.2023,21675433,02.04.2024
20,EIRIN,0.0,1.0,0.0,9.0,31.12.2023,42002492,02.04.2024
21,EKOFISK,1069.0,0.0,286.0,0.0,31.12.2023,43506,02.04.2024
22,ELDFISK,450.0,0.0,119.0,0.0,31.12.2023,43527,02.04.2024
23,EMBLA,49.0,0.0,17.0,0.0,31.12.2023,43534,02.04.2024
24,ENOCH,2.0,0.0,0.0,0.0,31.12.2023,3437659,02.04.2024
25,FENJA,16.0,0.0,3.0,1.0,31.12.2023,31164879,02.04.2024
26,FENRIS,0.0,24.0,0.0,33.0,31.12.2023,42002478,02.04.2024
27,FLYNDRE,1.0,0.0,2.0,0.0,31.12.2023,24635035,02.04.2024
28,FRAM,101.0,3.0,15.0,18.0,31.12.2023,1578840,02.04.2024
29,FRAM H-NORD,5.0,0.0,1.0,0.0,31.12.2023,23410947,02.04.2024
30,FRIGG,97.0,1.0,5.0,150.0,31.12.2023,43555,02.04.2024
31,FRØY,28.0,0.0,6.0,0.0,31.12.2023,43597,02.04.2024
32,FULLA,0.0,6.0,0.0,18.0,31.12.2023,42002479,02.04.2024
33,GAUPE,11.0,1.0,2.0,3.0,31.12.2023,18161341,02.04.2024
34,GIMLE,23.0,4.0,7.0,5.0,31.12.2023,4005142,02.04.2024
35,GINA KROG,24.0,12.0,5.0,21.0,31.12.2023,23384544,02.04.2024
36,GJØA,51.0,13.0,9.0,52.0,31.12.2023,4467574,02.04.2024
37,GLITNE,20.0,0.0,0.0,1.0,31.12.2023,1272071,02.04.2024
38,GOLIAT,91.0,0.0,11.0,9.0,31.12.2023,5774394,02.04.2024
39,GRANE,224.0,0.0,3.0,0.0,31.12.2023,1035937,02.04.2024
40,GUDRUN,50.0,23.0,19.0,29.0,31.12.2023,18116481,02.04.2024
41,GULLFAKS,745.0,0.0,84.0,0.0,31.12.2023,43686,02.04.2024
42,GULLFAKS SØR,198.0,45.0,35.0,136.0,31.12.2023,43699,02.04.2024
43,GUNGNE,0.0,15.0,0.0,20.0,31.12.2023,43464,02.04.2024
44,GYDA,90.0,9.0,18.0,0.0,31.12.2023,43492,02.04.2024
45,HALTEN ØST,3.0,5.0,0.0,16.0,31.12.2023,42148955,02.04.2024
46,HANZ,5.0,0.0,1.0,0.0,31.12.2023,25307278,02.04.2024
47,HEIDRUN,436.0,8.0,37.0,52.0,31.12.2023,43771,02.04.2024
48,HEIMDAL,11.0,0.0,0.0,61.0,31.12.2023,43590,02.04.2024
49,HOD,64.0,0.0,9.0,0.0,31.12.2023,43485,02.04.2024
50,HUGIN,90.0,1.0,14.0,3.0,31.12.2023,42002474,02.04.2024
51,HULDRA,0.0,9.0,0.0,23.0,31.12.2023,97002,02.04.2024
52,HYME,6.0,0.0,1.0,0.0,31.12.2023,20474183,02.04.2024
53,IDUN NORD,1.0,0.0,0.0,4.0,31.12.2023,42002477,02.04.2024
54,IRPA,0.0,1.0,0.0,38.0,31.12.2023,42002482,02.04.2024
55,ISLAY,0.0,0.0,0.0,0.0,31.12.2023,21105675,02.04.2024
56,IVAR AASEN,46.0,1.0,7.0,3.0,31.12.2023,23384520,02.04.2024
57,JETTE,3.0,0.0,0.0,0.0,31.12.2023,21613906,02.04.2024
58,JOHAN CASTBERG,175.0,0.0,0.0,0.0,31.12.2023,32017325,02.04.2024
59,JOHAN SVERDRUP,588.0,0.0,24.0,0.0,31.12.2023,26376286,02.04.2024
60,JOTUN,44.0,0.0,2.0,0.0,31.12.2023,43604,02.04.2024
61,KNARR,32.0,0.0,4.0,0.0,31.12.2023,20460988,02.04.2024
62,KRISTIN,70.0,19.0,0.0,121.0,31.12.2023,1854729,02.04.2024
63,KVITEBJØRN,0.0,68.0,0.0,152.0,31.12.2023,1036101,02.04.2024
64,LILLE-FRIGG,0.0,5.0,0.0,7.0,31.12.2023,43583,02.04.2024
65,MARIA,47.0,0.0,6.0,0.0,31.12.2023,26465170,02.04.2024
66,MARTIN LINGE,27.0,9.0,1.0,29.0,31.12.2023,21675447,02.04.2024
67,MARULK,0.0,2.0,0.0,16.0,31.12.2023,18212090,02.04.2024
68,MIKKEL,13.0,19.0,4.0,43.0,31.12.2023,1630514,02.04.2024
69,MIME,7.0,0.0,2.0,0.0,31.12.2023,43792,02.04.2024
70,MORVIN,36.0,0.0,16.0,0.0,31.12.2023,4966234,02.04.2024
71,MUNIN,51.0,7.0,4.0,36.0,31.12.2023,42002476,02.04.2024
72,MURCHISON,27.0,0.0,3.0,0.0,31.12.2023,43665,02.04.2024
73,NJORD,132.0,5.0,35.0,14.0,31.12.2023,43751,02.04.2024
74,NORDØST FRIGG,0.0,0.0,0.0,35.0,31.12.2023,43568,02.04.2024
75,NORNE,157.0,2.0,18.0,12.0,31.12.2023,43778,02.04.2024
76,NOVA,30.0,0.0,7.0,4.0,31.12.2023,33197696,02.04.2024
77,ODA,9.0,0.0,1.0,0.0,31.12.2023,29412516,02.04.2024
78,ODIN,0.0,0.0,0.0,37.0,31.12.2023,43610,02.04.2024
79,ORMEN LANGE,1.0,37.0,0.0,398.0,31.12.2023,2762452,02.04.2024
80,OSEBERG,678.0,36.0,93.0,117.0,31.12.2023,43625,02.04.2024
81,OSEBERG SØR,247.0,1.0,38.0,23.0,31.12.2023,43645,02.04.2024
82,OSEBERG ØST,73.0,0.0,6.0,0.0,31.12.2023,43639,02.04.2024
83,OSELVAR,7.0,4.0,2.0,2.0,31.12.2023,5506919,02.04.2024
84,REV,0.0,2.0,0.0,4.0,31.12.2023,4467554,02.04.2024
85,RINGHORNE ØST,26.0,0.0,1.0,0.0,31.12.2023,3505505,02.04.2024
86,SIGYN,16.0,9.0,3.0,7.0,31.12.2023,1630100,02.04.2024
87,SKARV,61.0,0.0,8.0,101.0,31.12.2023,4704482,02.04.2024
88,SKIRNE,5.0,0.0,0.0,15.0,31.12.2023,2138816,02.04.2024
89,SKOGUL,3.0,0.0,0.0,0.0,31.12.2023,31164600,02.04.2024
90,SKULD,23.0,0.0,2.0,1.0,31.12.2023,21350124,02.04.2024
91,SLEIPNER VEST,0.0,80.0,0.0,187.0,31.12.2023,43457,02.04.2024
92,SLEIPNER ØST,0.0,77.0,0.0,91.0,31.12.2023,43478,02.04.2024
93,SNORRE,613.0,0.0,65.0,0.0,31.12.2023,43718,02.04.2024
94,SNØHVIT,0.0,43.0,11.0,366.0,31.12.2023,2053062,02.04.2024
95,SOLVEIG,40.0,0.0,6.0,2.0,31.12.2023,34833011,02.04.2024
96,STATFJORD,862.0,0.0,154.0,12.0,31.12.2023,43658,02.04.2024
97,STATFJORD NORD,73.0,0.0,5.0,0.0,31.12.2023,43679,02.04.2024
98,STATFJORD ØST,65.0,0.0,9.0,0.0,31.12.2023,43672,02.04.2024
99,SVALIN,16.0,0.0,1.0,0.0,31.12.2023,22507971,02.04.2024
100,SYGNA,21.0,0.0,1.0,0.0,31.12.2023,104718,02.04.2024
101,SYMRA,40.0,0.0,5.0,0.0,31.12.2023,42002480,02.04.2024
102,TAMBAR,41.0,0.0,10.0,0.0,31.12.2023,1028599,02.04.2024
103,TAMBAR ØST,8.0,0.0,1.0,0.0,31.12.2023,4999528,02.04.2024
104,TOMMELITEN A,0.0,43.0,0.0,26.0,31.12.2023,40867462,02.04.2024
105,TOMMELITEN GAMMA,12.0,0.0,15.0,0.0,31.12.2023,43444,02.04.2024
106,TOR,151.0,0.0,40.0,0.0,31.12.2023,43520,02.04.2024
107,TORDIS,123.0,0.0,14.0,0.0,31.12.2023,43725,02.04.2024
108,TRESTAKK,28.0,0.0,6.0,0.0,31.12.2023,29396445,02.04.2024
109,TROLL,664.0,86.0,38.0,1625.0,31.12.2023,46437,02.04.2024
110,TRYM,0.0,4.0,0.0,6.0,31.12.2023,18081500,02.04.2024
111,TUNE,2.0,11.0,0.0,22.0,31.12.2023,853376,02.04.2024
112,TYRIHANS,68.0,20.0,17.0,57.0,31.12.2023,3960848,02.04.2024
113,TYRVING,10.0,0.0,0.0,0.0,31.12.2023,42002471,02.04.2024
114,ULA,158.0,8.0,16.0,0.0,31.12.2023,43800,02.04.2024
115,URD,49.0,0.0,3.0,0.0,31.12.2023,2834734,02.04.2024
116,UTGARD,0.0,6.0,0.0,5.0,31.12.2023,28975098,02.04.2024
117,VALE,0.0,10.0,0.0,8.0,31.12.2023,1578893,02.04.2024
118,VALEMON,0.0,13.0,0.0,61.0,31.12.2023,20460969,02.04.2024
119,VALHALL,371.0,0.0,75.0,0.0,31.12.2023,43548,02.04.2024
120,VARG,43.0,0.0,5.0,0.0,31.12.2023,43451,02.04.2024
121,VEGA,4.0,33.0,2.0,48.0,31.12.2023,4467595,02.04.2024
122,VERDANDE,39.0,0.0,4.0,2.0,31.12.2023,42002481,02.04.2024
123,VESLEFRIKK,120.0,2.0,17.0,2.0,31.12.2023,43618,02.04.2024
124,VEST EKOFISK,0.0,60.0,0.0,42.0,31.12.2023,43513,02.04.2024
125,VIGDIS,154.0,0.0,13.0,0.0,31.12.2023,43732,02.04.2024
126,VILJE,24.0,0.0,1.0,0.0,31.12.2023,3392471,02.04.2024
127,VISUND,91.0,41.0,26.0,91.0,31.12.2023,43745,02.04.2024
128,VISUND SØR,13.0,4.0,3.0,9.0,31.12.2023,20461008,02.04.2024
129,VOLUND,22.0,0.0,2.0,2.0,31.12.2023,4380167,02.04.2024
130,VOLVE,19.0,0.0,3.0,0.0,31.12.2023,3420717,02.04.2024
131,YME,57.0,0.0,3.0,0.0,31.12.2023,43807,02.04.2024
132,YTTERGRYTA,0.0,1.0,0.0,7.0,31.12.2023,4973114,02.04.2024
133,ÆRFUGL NORD,1.0,0.0,0.0,6.0,31.12.2023,38542241,02.04.2024
134,ØRN,0.0,0.0,0.0,11.0,31.12.2023,42002484,02.04.2024
135,ØST FRIGG,0.0,0.0,0.0,21.0,31.12.2023,43576,02.04.2024
136,ÅSGARD,198.0,202.0,58.0,336.0,31.12.2023,43765,02.04.2024
137,AASTA HANSTEEN,4.0,1.0,0.0,84.0,31.12.2023,23395946,02.04.2024
