,fldName,fldRecoverableOil,fldRecoverableGas,fldRecoverableNGL,fldRecoverableCondensate,fldRecoverableOE,fldRemainingOil,fldRemainingGas,fldRemainingNGL,fldRemainingCondensate,fldRemainingOE,fldDateOffResEstDisplay,fldNpdidField,DatesyncNPD
0,ALBUSKJELL,7.35,15.53,0.99,0.0,24.76,0.0,0.0,0.0,0.0,0.0,31.12.2023,43437,02.04.2024
1,ALVE,2.62,11.99,1.84,0.0,18.11,0.33,3.0,0.41,0.0,4.11,31.12.2023,4444332,02.04.2024
2,ALVE NORD,1.55,4.15,0.59,0.0,6.82,1.55,4.15,0.59,0.0,6.82,31.12.2023,42002483,02.04.2024
3,ALVHEIM,62.78,17.19,0.0,0.0,79.97,11.5,8.85,0.0,0.0,20.35,31.12.2023,2845712,02.04.2024
4,ATLA,0.28,1.48,0.0,0.0,1.76,0.0,0.0,0.0,0.0,0.0,31.12.2023,21106284,02.04.2024
5,BALDER,102.33,2.63,0.0,0.0,104.96,27.36,0.68,0.0,0.0,28.04,31.12.2023,43562,02.04.2024
6,BAUGE,4.12,1.3,0.71,0.0,6.77,3.78,1.23,0.69,0.0,6.32,31.12.2023,29446221,02.04.2024
7,BERLING,1.53,4.58,0.74,0.0,7.52,1.53,4.58,0.74,0.0,7.52,31.12.2023,42002473,02.04.2024
8,BLANE,0.81,0.0,0.02,0.0,0.85,0.03,0.0,0.0,0.0,0.03,31.12.2023,3437650,02.04.2024
9,BRAGE,62.53,4.71,1.5,0.0,70.09,1.7,0.35,0.07,0.0,2.18,31.12.2023,43651,02.04.2024
10,BREIDABLIKK,30.46,0.0,0.0,0.0,30.46,30.24,0.0,0.0,0.0,30.24,31.12.2023,38702206,02.04.2024
11,BRYNHILD,0.49,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,31.12.2023,21123063,02.04.2024
12,BYRDING,0.94,0.54,0.04,0.0,1.56,0.05,0.06,0.0,0.0,0.11,31.12.2023,28975067,02.04.2024
13,BØYLA,4.94,0.37,0.0,0.0,5.31,1.45,0.09,0.0,0.0,1.54,31.12.2023,22492497,02.04.2024
14,COD,2.88,7.28,0.52,0.0,11.15,0.0,0.0,0.0,0.0,0.0,31.12.2023,43785,02.04.2024
15,DRAUGEN,153.71,3.67,2.9,0.0,162.89,8.4,1.94,0.24,0.0,10.8,31.12.2023,43758,02.04.2024
16,DUVA,3.48,4.58,0.56,0.0,9.12,0.9,3.21,0.39,0.0,4.85,31.12.2023,34833026,02.04.2024
17,DVALIN,0.88,31.09,0.0,0.75,32.72,0.87,30.37,0.0,0.73,31.97,31.12.2023,29393934,02.04.2024
18,EDDA,4.82,1.98,0.21,0.0,7.2,0.0,0.0,0.0,0.0,0.0,31.12.2023,43541,02.04.2024
19,EDVARD GRIEG,54.2,5.24,1.47,0.0,62.23,14.35,1.3,0.4,0.0,16.41,31.12.2023,21675433,02.04.2024
20,EIRIN,0.37,3.73,0.13,0.0,4.35,0.37,3.73,0.13,0.0,4.35,31.12.2023,42002492,02.04.2024
21,EKOFISK,531.49,152.23,15.83,0.0,713.8,30.35,1.95,0.72,0.0,33.67,31.12.2023,43506,02.04.2024
22,ELDFISK,153.99,46.91,5.52,0.0,211.39,27.69,4.37,0.84,0.0,33.66,31.12.2023,43527,02.04.2024
23,EMBLA,12.51,5.73,0.67,0.0,19.51,0.36,0.32,0.04,0.0,0.76,31.12.2023,43534,02.04.2024
24,ENOCH,0.43,0.0,0.0,0.0,0.43,0.01,0.0,0.0,0.0,0.01,31.12.2023,3437659,02.04.2024
25,FENJA,6.44,2.57,0.42,0.0,9.81,5.75,2.53,0.42,0.0,9.08,31.12.2023,31164879,02.04.2024
26,FENRIS,10.07,13.99,0.68,0.0,25.35,10.07,13.99,0.68,0.0,25.35,31.12.2023,42002478,02.04.2024
27,FLYNDRE,0.08,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,31.12.2023,24635035,02.04.2024
28,FRAM,43.69,19.51,1.65,0.0,66.34,2.0,7.74,0.58,0.0,10.84,31.12.2023,1578840,02.04.2024
29,FRAM H-NORD,0.71,0.0,0.0,0.0,0.71,0.02,0.0,0.0,0.0,0.02,31.12.2023,23410947,02.04.2024
30,FRIGG,0.0,116.2,0.0,0.46,116.66,0.0,0.0,0.0,0.0,0.0,31.12.2023,43555,02.04.2024
31,FRØY,5.55,1.61,0.0,0.11,7.27,0.0,0.0,0.0,0.0,0.0,31.12.2023,43597,02.04.2024
32,FULLA,1.25,9.02,0.93,0.0,12.04,1.25,9.02,0.93,0.0,12.04,31.12.2023,42002479,02.04.2024
33,GAUPE,0.23,0.46,0.03,0.02,0.77,0.0,0.0,0.0,0.0,0.0,31.12.2023,18161341,02.04.2024
34,GIMLE,3.34,1.39,0.35,0.0,5.4,0.38,0.43,0.16,0.0,1.11,31.12.2023,4005142,02.04.2024
35,GINA KROG,10.05,18.46,0.85,0.0,30.13,2.03,10.08,0.18,0.0,12.45,31.12.2023,23384544,02.04.2024
36,GJØA,15.55,45.16,10.2,0.0,80.09,0.33,5.33,0.65,0.0,6.9,31.12.2023,4467574,02.04.2024
37,GLITNE,8.88,0.0,0.0,0.0,8.88,0.0,0.0,0.0,0.0,0.0,31.12.2023,1272071,02.04.2024
38,GOLIAT,31.3,0.0,0.0,0.0,31.3,11.95,0.0,0.0,0.0,11.95,31.12.2023,5774394,02.04.2024
39,GRANE,151.4,0.0,0.0,0.0,151.4,15.75,0.0,0.0,0.0,15.75,31.12.2023,1035937,02.04.2024
40,GUDRUN,25.66,18.48,1.85,0.0,47.66,5.23,4.87,0.25,0.0,10.58,31.12.2023,18116481,02.04.2024
41,GULLFAKS,390.72,23.08,2.83,0.0,419.18,12.95,0.0,0.0,0.0,12.95,31.12.2023,43686,02.04.2024
42,GULLFAKS SØR,63.66,105.1,12.94,0.0,193.35,4.11,19.88,2.39,0.0,28.53,31.12.2023,43699,02.04.2024
43,GUNGNE,0.36,16.41,2.18,4.47,25.38,0.05,0.26,0.01,0.0,0.33,31.12.2023,43464,02.04.2024
44,GYDA,36.27,6.2,1.91,0.0,46.1,0.0,0.0,0.0,0.0,0.0,31.12.2023,43492,02.04.2024
45,HALTEN ØST,2.52,9.18,1.79,0.0,15.1,2.52,9.18,1.79,0.0,15.1,31.12.2023,42148955,02.04.2024
46,HANZ,2.54,0.55,0.09,0.0,3.26,2.54,0.55,0.09,0.0,3.26,31.12.2023,25307278,02.04.2024
47,HEIDRUN,204.91,52.47,3.05,0.0,263.18,30.0,23.71,1.96,0.0,57.43,31.12.2023,43771,02.04.2024
48,HEIMDAL,6.66,46.2,0.0,0.0,52.86,0.0,0.0,0.0,0.0,0.0,31.12.2023,43590,02.04.2024
49,HOD,15.52,2.64,0.62,0.0,19.34,4.75,0.82,0.12,0.0,5.8,31.12.2023,43485,02.04.2024
50,HUGIN,29.33,6.53,1.17,0.0,38.08,29.33,6.53,1.17,0.0,38.08,31.12.2023,42002474,02.04.2024
51,HULDRA,5.21,17.24,0.11,0.0,22.66,0.0,0.0,0.0,0.0,0.0,31.12.2023,97002,02.04.2024
52,HYME,3.18,0.88,0.36,0.0,4.74,0.99,0.55,0.23,0.0,1.98,31.12.2023,20474183,02.04.2024
53,IDUN NORD,0.18,2.96,0.1,0.0,3.33,0.18,2.96,0.1,0.0,3.33,31.12.2023,42002477,02.04.2024
54,IRPA,0.0,20.13,0.0,0.4,20.53,0.0,20.13,0.0,0.4,20.53,31.12.2023,42002482,02.04.2024
55,ISLAY,0.01,0.09,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,31.12.2023,21105675,02.04.2024
56,IVAR AASEN,22.46,4.74,0.8,0.0,28.72,6.12,1.36,0.25,0.0,7.96,31.12.2023,23384520,02.04.2024
57,JETTE,0.43,0.01,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,31.12.2023,21613906,02.04.2024
58,JOHAN CASTBERG,88.97,0.0,0.0,0.0,88.97,88.97,0.0,0.0,0.0,88.97,31.12.2023,32017325,02.04.2024
59,JOHAN SVERDRUP,389.41,10.78,3.73,0.0,407.28,262.21,6.38,2.04,0.0,272.47,31.12.2023,26376286,02.04.2024
60,JOTUN,23.14,0.88,0.0,0.0,24.02,0.0,0.0,0.0,0.0,0.0,31.12.2023,43604,02.04.2024
61,KNARR,9.6,0.41,0.64,0.0,11.23,0.0,0.0,0.0,0.0,0.0,31.12.2023,20460988,02.04.2024
62,KRISTIN,28.27,37.06,8.01,2.1,82.65,3.47,9.41,1.99,0.0,16.66,31.12.2023,1854729,02.04.2024
63,KVITEBJØRN,32.06,102.05,10.38,0.0,153.83,2.04,11.84,0.96,0.0,15.7,31.12.2023,1036101,02.04.2024
64,LILLE-FRIGG,1.33,2.19,0.0,0.02,3.54,0.0,0.0,0.0,0.0,0.0,31.12.2023,43583,02.04.2024
65,MARIA,15.89,1.69,1.03,0.0,19.54,10.42,1.15,0.69,0.0,12.88,31.12.2023,26465170,02.04.2024
66,MARTIN LINGE,7.7,16.4,1.09,0.0,26.17,3.62,11.0,0.7,0.0,15.95,31.12.2023,21675447,02.04.2024
67,MARULK,0.65,9.0,0.73,0.0,11.04,0.03,0.61,0.03,0.0,0.7,31.12.2023,18212090,02.04.2024
68,MIKKEL,5.95,32.21,8.32,2.25,56.22,0.41,2.62,0.64,0.0,4.25,31.12.2023,1630514,02.04.2024
69,MIME,0.37,0.08,0.01,0.0,0.47,0.0,0.0,0.0,0.0,0.0,31.12.2023,43792,02.04.2024
70,MORVIN,9.29,3.54,0.75,0.0,14.26,0.19,0.11,0.02,0.0,0.34,31.12.2023,4966234,02.04.2024
71,MUNIN,20.39,21.63,4.22,0.0,50.04,20.39,21.63,4.22,0.0,50.04,31.12.2023,42002476,02.04.2024
72,MURCHISON,13.86,0.35,0.32,0.0,14.82,0.0,0.0,0.0,0.0,0.0,31.12.2023,43665,02.04.2024
73,NJORD,32.07,24.43,5.63,0.0,67.2,5.05,13.93,3.28,0.0,25.21,31.12.2023,43751,02.04.2024
74,NORDØST FRIGG,0.0,11.59,0.0,0.08,11.67,0.0,0.0,0.0,0.0,0.0,31.12.2023,43568,02.04.2024
75,NORNE,93.96,13.05,1.37,0.0,109.61,1.16,1.39,0.06,0.0,2.66,31.12.2023,43778,02.04.2024
76,NOVA,8.91,2.41,0.74,0.0,12.73,7.44,2.05,0.63,0.0,10.69,31.12.2023,33197696,02.04.2024
77,ODA,4.43,0.2,0.08,0.0,4.78,0.43,0.01,0.01,0.0,0.46,31.12.2023,29412516,02.04.2024
78,ODIN,0.0,27.26,0.0,0.22,27.48,0.0,0.0,0.0,0.0,0.0,31.12.2023,43610,02.04.2024
79,ORMEN LANGE,0.0,334.73,0.0,19.62,354.35,0.0,77.02,0.0,2.44,79.46,31.12.2023,2762452,02.04.2024
80,OSEBERG,403.81,132.76,16.73,0.0,568.36,7.83,53.62,3.13,0.0,67.4,31.12.2023,43625,02.04.2024
81,OSEBERG SØR,69.97,26.98,2.38,0.0,101.47,8.67,12.98,0.45,0.0,22.51,31.12.2023,43645,02.04.2024
82,OSEBERG ØST,24.18,0.37,0.11,0.0,24.76,0.62,0.01,0.01,0.0,0.65,31.12.2023,43639,02.04.2024
83,OSELVAR,0.68,0.4,0.02,0.0,1.12,0.0,0.0,0.0,0.0,0.0,31.12.2023,5506919,02.04.2024
84,REV,0.77,2.72,0.05,0.06,3.65,0.0,0.01,0.0,0.0,0.01,31.12.2023,4467554,02.04.2024
85,RINGHORNE ØST,14.72,0.25,0.0,0.0,14.97,1.51,0.0,0.0,0.0,1.51,31.12.2023,3505505,02.04.2024
86,SIGYN,1.4,7.45,2.83,6.06,20.29,0.3,0.21,0.03,0.0,0.57,31.12.2023,1630100,02.04.2024
87,SKARV,24.19,71.7,7.47,0.0,110.08,3.65,26.17,2.63,0.0,34.82,31.12.2023,4704482,02.04.2024
88,SKIRNE,2.05,11.14,0.0,0.0,13.19,0.0,0.0,0.0,0.0,0.0,31.12.2023,2138816,02.04.2024
89,SKOGUL,2.18,0.16,0.0,0.0,2.34,0.76,0.03,0.0,0.0,0.79,31.12.2023,31164600,02.04.2024
90,SKULD,5.45,0.65,0.27,0.0,6.61,0.62,0.3,0.21,0.0,1.32,31.12.2023,21350124,02.04.2024
91,SLEIPNER VEST,6.88,155.67,10.57,29.74,212.37,1.3,7.78,0.21,0.0,9.48,31.12.2023,43457,02.04.2024
92,SLEIPNER ØST,0.42,69.43,13.41,26.62,121.95,0.03,0.18,0.01,0.0,0.23,31.12.2023,43478,02.04.2024
93,SNORRE,319.35,6.65,4.76,0.0,335.04,76.61,0.0,0.0,0.0,76.61,31.12.2023,43718,02.04.2024
94,SNØHVIT,0.0,208.37,9.64,22.77,249.46,0.0,135.14,6.13,11.82,158.61,31.12.2023,2053062,02.04.2024
95,SOLVEIG,12.41,2.43,0.93,0.0,16.61,10.99,2.14,0.81,0.0,14.67,31.12.2023,34833011,02.04.2024
96,STATFJORD,582.98,87.23,23.45,0.0,714.77,4.43,6.11,1.12,0.0,12.67,31.12.2023,43658,02.04.2024
97,STATFJORD NORD,44.12,2.37,1.12,0.0,48.62,3.72,0.23,0.05,0.0,4.05,31.12.2023,43679,02.04.2024
98,STATFJORD ØST,40.8,5.75,2.38,0.0,51.07,3.06,0.98,0.19,0.0,4.4,31.12.2023,43672,02.04.2024
99,SVALIN,11.33,0.0,0.0,0.0,11.33,3.59,0.0,0.0,0.0,3.59,31.12.2023,22507971,02.04.2024
100,SYGNA,11.48,0.0,0.0,0.0,11.48,0.37,0.0,0.0,0.0,0.37,31.12.2023,104718,02.04.2024
101,SYMRA,7.63,1.16,0.38,0.0,9.51,7.63,1.16,0.38,0.0,9.51,31.12.2023,42002480,02.04.2024
102,TAMBAR,11.93,2.57,0.26,0.0,14.99,0.23,0.05,0.0,0.0,0.28,31.12.2023,1028599,02.04.2024
103,TAMBAR ØST,1.27,0.09,0.03,0.0,1.42,0.94,0.06,0.02,0.0,1.04,31.12.2023,4999528,02.04.2024
104,TOMMELITEN A,7.27,17.64,0.5,0.0,25.86,7.2,17.58,0.5,0.0,25.73,31.12.2023,40867462,02.04.2024
105,TOMMELITEN GAMMA,3.87,9.69,0.57,0.0,14.64,0.0,0.0,0.0,0.0,0.0,31.12.2023,43444,02.04.2024
106,TOR,30.94,11.59,1.43,0.0,45.25,4.34,0.44,0.14,0.0,5.05,31.12.2023,43520,02.04.2024
107,TORDIS,72.26,5.12,1.94,0.0,81.07,6.35,0.29,0.12,0.0,6.87,31.12.2023,43725,02.04.2024
108,TRESTAKK,6.08,1.32,0.45,0.0,8.26,1.99,1.32,0.45,0.0,4.17,31.12.2023,29396445,02.04.2024
109,TROLL,295.76,1436.56,21.52,1.52,1774.73,2.89,606.03,8.05,0.0,624.22,31.12.2023,46437,02.04.2024
110,TRYM,1.76,4.31,0.0,0.0,6.07,0.08,0.59,0.0,0.0,0.67,31.12.2023,18081500,02.04.2024
111,TUNE,3.5,19.03,0.14,0.0,22.8,0.03,0.2,0.0,0.0,0.23,31.12.2023,853376,02.04.2024
112,TYRIHANS,35.42,47.32,7.38,0.0,96.76,1.91,20.64,2.94,0.0,28.14,31.12.2023,3960848,02.04.2024
113,TYRVING,4.5,0.04,0.0,0.0,4.54,4.5,0.04,0.0,0.0,4.54,31.12.2023,42002471,02.04.2024
114,ULA,78.02,3.85,3.04,0.0,87.65,0.97,0.0,0.04,0.0,1.05,31.12.2023,43800,02.04.2024
115,URD,8.88,0.29,0.04,0.0,9.25,1.01,0.0,0.0,0.0,1.01,31.12.2023,2834734,02.04.2024
116,UTGARD,0.95,1.04,0.15,0.0,2.28,0.12,0.12,0.01,0.0,0.26,31.12.2023,28975098,02.04.2024
117,VALE,2.85,2.51,0.0,0.0,5.36,0.0,0.0,0.0,0.0,0.0,31.12.2023,1578893,02.04.2024
118,VALEMON,2.05,14.77,0.22,0.0,17.24,0.16,1.38,0.09,0.0,1.71,31.12.2023,20460969,02.04.2024
119,VALHALL,158.52,30.5,6.02,0.0,200.46,31.83,6.08,0.85,0.0,39.53,31.12.2023,43548,02.04.2024
120,VARG,16.33,0.3,0.02,0.02,16.69,0.0,0.0,0.0,0.0,0.0,31.12.2023,43451,02.04.2024
121,VEGA,11.5,27.58,5.82,0.0,50.14,2.45,9.2,1.07,0.0,13.68,31.12.2023,4467595,02.04.2024
122,VERDANDE,4.7,0.89,0.05,0.0,5.69,4.7,0.89,0.05,0.0,5.69,31.12.2023,42002481,02.04.2024
123,VESLEFRIKK,55.34,4.19,1.81,0.0,62.97,0.0,0.0,0.0,0.0,0.0,31.12.2023,43618,02.04.2024
124,VEST EKOFISK,12.15,25.97,1.43,0.0,40.84,0.0,0.0,0.0,0.0,0.0,31.12.2023,43513,02.04.2024
125,VIGDIS,75.81,1.71,1.39,0.0,80.16,7.49,0.0,0.0,0.0,7.49,31.12.2023,43732,02.04.2024
126,VILJE,14.74,0.0,0.0,0.0,14.74,1.06,0.0,0.0,0.0,1.06,31.12.2023,3392471,02.04.2024
127,VISUND,41.71,71.79,8.38,0.0,129.42,3.05,26.94,3.14,0.0,35.96,31.12.2023,43745,02.04.2024
128,VISUND SØR,2.8,5.68,0.79,0.0,9.98,0.11,0.24,0.03,0.0,0.41,31.12.2023,20461008,02.04.2024
129,VOLUND,12.57,1.67,0.0,0.0,14.24,0.67,0.11,0.0,0.0,0.78,31.12.2023,4380167,02.04.2024
130,VOLVE,10.17,0.81,0.16,0.09,11.37,0.0,0.0,0.0,0.0,0.0,31.12.2023,3420717,02.04.2024
131,YME,15.81,0.0,0.0,0.0,15.81,6.28,0.0,0.0,0.0,6.28,31.12.2023,43807,02.04.2024
132,YTTERGRYTA,0.29,1.81,0.34,0.0,2.75,0.0,0.0,0.0,0.0,0.0,31.12.2023,4973114,02.04.2024
133,ÆRFUGL NORD,0.23,2.41,0.19,0.0,3.0,0.05,0.57,0.05,0.0,0.72,31.12.2023,38542241,02.04.2024
134,ØRN,0.36,8.61,0.29,0.0,9.52,0.36,8.61,0.29,0.0,9.52,31.12.2023,42002484,02.04.2024
135,ØST FRIGG,0.0,9.22,0.0,0.07,9.29,0.0,0.0,0.0,0.0,0.0,31.12.2023,43576,02.04.2024
136,ÅSGARD,110.66,241.61,42.97,17.11,451.02,6.66,27.1,4.75,0.0,42.79,31.12.2023,43765,02.04.2024
137,AASTA HANSTEEN,0.0,61.33,0.0,1.18,62.51,0.0,20.74,0.0,0.3,21.04,31.12.2023,23395946,02.04.2024
